x,y,topic,description,category
-1.8536983,-5.451384,1,Police set up a taskforce to investigate 69-year-old Kimberley McRae's death after the sex worker's body was found in her Coogee home on Tuesday.,general
-2.8313105,-0.006363999,4,"LUMPKIN, Ga. (AP) — In a locked, guarded courtroom in a compound surrounded by razor wire, Immigration Judge Jerome Rothschild waits -- and stalls.A Spanish interpreter is running late...",general
6.6364527,-6.782741,3,WASHINGTON (AP) — The U.S. Senate opened the impeachment trial of President Donald Trump with quiet ceremony Thursday — senators standing at their desks to swear an oath of “impartial justice” as...,general
3.2131221,0.3943298,2,"TEHRAN, Iran (AP) — Iran's supreme leader said President Donald Trump is a ""clown"" who only pretends to support the Iranian people but will “push a poisonous dagger” into their backs, as he struck...",general
-1.8565012,-5.467271,1,WASHINGTON (AP) — Selfies on a “Women for Trump” bus tour through Iowa. Volunteer training at a “Black Voices for Trump” organizing session in Philadelphia. A vice presidential headliner at a...,general
-1.4604797,5.678154,0,"LONDON (AP) — Prince Charles, the future king, has long been seen as a potential modernizer who wants a more modest monarchy in line with other European royal households — and the streamlining...",general
6.6059403,-6.715975,3,"WITTENBERG, Germany (AP) — High on the wall of a German church where Martin Luther once preached, an ugly remnant of centuries of anti-Semitism is now at the center of a court battle.The...",general
6.64128,-6.7990613,3,"TAGAYTAY, Philippines (AP) — An erupting Philippine volcano remains life threatening despite weaker emissions and fewer tremors, an official said Friday and advised thousands of displaced...",general
-2.8265007,-0.026666861,4,"BEIJING (AP) — As the Lunar New Year approaches, Chinese travelers flocked to train stations and airports Friday to take part in a nationwide ritual: the world's biggest annual human...",general
-1.481941,5.744941,0,Cleveland Browns wide receiver Odell Beckham Jr is subject to an arrest warrant from New Orleans police on a charge of alleged simple battery.,sports
-1.854367,-5.455169,1,"Margaret Court was a quiet champion, unrivalled in sport but shy in public. Now she is at the centre of a polemic set to play out its latest chapter.",sports
-1.4833661,5.776202,0,South Africa pace bowler Kagiso Rabada is banned for the final Test of the series against England following his celebration of Joe Root's dismissal on the first day of the third Test.,sports
-2.8244357,-0.026835063,4,"Conor McGregor says he is in a ""better place"" than he was a few years ago as he prepares to make his UFC comeback against Donald Cerrone on Saturday.",sports
6.10345,-6.534319,3,"Watford are a side reborn under Nigel Pearson, but how has he led them from six points adrift to a point above the relegation zone in a month?",sports
-2.8544195,-0.019949734,4,Carlos Sainz finishes comfortably ahead of defending champion Nasser al-Attiyah to claim his third Dakar Rally title in Saudi Arabia as Fernando Alonso finishes 13th,sports
-1.1266956,5.8192525,0,"Anchor Wolf Blitzer said on Thursday's broadcast of CNN's ""Situation Room"" that Sen. Martha McSally (R-AZ) calling CNN senior congressional correspondent | Clips",general
